航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,isLowCostCarrier,出发日期,出发时间,到达日期,到达时间,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
FM3016,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,170,0,73E,波音738(中),M,2024-04-01 12:50:00,2024-04-01 15:40:00,False,False,0,False,True,,2024-04-01,12:50:00,2024-04-01,15:40:00,MU,东方航空,天合联盟,MU502,618,340,958,1524,,,,,2024-03-27
HX238,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,140,0,32S,空客32S(中),M,2024-04-01 15:40:00,2024-04-01 18:00:00,False,False,0,False,True,,2024-04-01,15:40:00,2024-04-01,18:00:00,,,,,909,398,1307,1773,,,,,2024-03-27
FM3022,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,160,0,320,空客320(中),M,2024-04-01 15:05:00,2024-04-01 17:45:00,False,False,0,False,True,,2024-04-01,15:05:00,2024-04-01,17:45:00,MU,东方航空,天合联盟,MU508,618,340,958,1490,,,,,2024-03-27
FM3026,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,170,0,32L,空客321(中),M,2024-04-01 13:55:00,2024-04-01 16:45:00,False,False,0,False,True,,2024-04-01,13:55:00,2024-04-01,16:45:00,MU,东方航空,天合联盟,MU702,773,340,1113,1679,,,,,2024-03-27
FM3012,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,140,0,333,空客330(大),L,2024-04-01 12:50:00,2024-04-01 15:10:00,False,False,0,False,True,,2024-04-01,12:50:00,2024-04-01,15:10:00,MU,东方航空,天合联盟,MU5018,773,340,1113,1579,,,,,2024-03-27
FM3028,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,175,0,32L,空客321(中),M,2024-04-01 09:45:00,2024-04-01 12:40:00,False,False,0,False,True,,2024-04-01,09:45:00,2024-04-01,12:40:00,MU,东方航空,天合联盟,MU724,855,340,1195,1777,,,,,2024-03-27
MU724,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,175,0,32L,空客321(中),M,2024-04-01 09:45:00,2024-04-01 12:40:00,False,False,0,False,True,,2024-04-01,09:45:00,2024-04-01,12:40:00,,,,,855,340,1195,1777,,,,,2024-03-27
CX368,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,165,0,773,波音777(大),L,2024-04-01 09:25:00,2024-04-01 12:10:00,False,False,0,False,True,,2024-04-01,09:25:00,2024-04-01,12:10:00,,,,,2308,398,2706,3255,,,,,2024-03-27
HX232,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,333,空客330(大),L,2024-04-01 19:05:00,2024-04-01 21:55:00,False,False,0,False,True,,2024-04-01,19:05:00,2024-04-01,21:55:00,,,,,510,398,908,1474,,,,,2024-03-27
FM810,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,145,0,73E,波音738(中),M,2024-04-01 18:50:00,2024-04-01 21:15:00,False,False,0,False,True,,2024-04-01,18:50:00,2024-04-01,21:15:00,,,,,855,340,1195,1677,,,,,2024-03-27
HO1292,1,HO,吉祥航空,星空联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,160,0,32S,空客32S(中),M,2024-04-01 20:40:00,2024-04-01 23:20:00,False,False,0,False,True,,2024-04-01,20:40:00,2024-04-01,23:20:00,,,,,300,398,698,1230,,,,,2024-03-27
FM3020,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,160,0,323,空客320(中),M,2024-04-01 20:05:00,2024-04-01 22:45:00,False,False,0,False,True,,2024-04-01,20:05:00,2024-04-01,22:45:00,MU,东方航空,天合联盟,MU506,670,340,1010,1542,,,,,2024-03-27
CX360,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,77W,波音777(大),L,2024-04-01 13:40:00,2024-04-01 16:30:00,False,False,0,False,True,,2024-04-01,13:40:00,2024-04-01,16:30:00,,,,,2308,398,2706,3272,,,,,2024-03-27
MU504,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,185,0,325,空客321(中),M,2024-04-01 15:55:00,2024-04-01 19:00:00,False,False,0,False,True,,2024-04-01,15:55:00,2024-04-01,19:00:00,,,,,618,340,958,1574,,,,,2024-03-27
MU506,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,160,0,323,空客320(中),M,2024-04-01 20:05:00,2024-04-01 22:45:00,False,False,0,False,True,,2024-04-01,20:05:00,2024-04-01,22:45:00,,,,,670,340,1010,1542,,,,,2024-03-27
CX362,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,165,0,333,空客330(大),L,2024-04-01 19:20:00,2024-04-01 22:05:00,False,False,0,False,True,,2024-04-01,19:20:00,2024-04-01,22:05:00,,,,,567,398,965,1514,,,,,2024-03-27
MU510,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,185,0,32L,空客321(中),M,2024-04-01 17:05:00,2024-04-01 20:10:00,False,False,0,False,True,,2024-04-01,17:05:00,2024-04-01,20:10:00,,,,,670,340,1010,1626,,,,,2024-03-27
CX376,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,175,0,773,波音777(大),L,2024-04-01 10:20:00,2024-04-01 13:15:00,False,False,0,False,True,,2024-04-01,10:20:00,2024-04-01,13:15:00,,,,,2308,398,2706,3288,,,,,2024-03-27
CX342,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,150,0,333,空客330(大),L,2024-04-01 09:35:00,2024-04-01 12:05:00,False,False,0,False,True,,2024-04-01,09:35:00,2024-04-01,12:05:00,,,,,2308,398,2706,3205,,,,,2024-03-27
MU508,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,160,0,320,空客320(中),M,2024-04-01 15:05:00,2024-04-01 17:45:00,False,False,0,False,True,,2024-04-01,15:05:00,2024-04-01,17:45:00,,,,,618,340,958,1490,,,,,2024-03-27
CX364,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,333,空客330(大),L,2024-04-01 17:25:00,2024-04-01 20:15:00,False,False,0,False,True,,2024-04-01,17:25:00,2024-04-01,20:15:00,,,,,567,398,965,1531,,,,,2024-03-27
CX316,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,165,0,333,空客330(大),L,2024-04-01 08:20:00,2024-04-01 11:05:00,False,False,0,False,True,,2024-04-01,08:20:00,2024-04-01,11:05:00,,,,,958,398,1356,1905,,,,,2024-03-27
FM3024,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,185,0,32L,空客321(中),M,2024-04-01 17:05:00,2024-04-01 20:10:00,False,False,0,False,True,,2024-04-01,17:05:00,2024-04-01,20:10:00,MU,东方航空,天合联盟,MU510,670,340,1010,1626,,,,,2024-03-27
HO3508,1,HO,吉祥航空,星空联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,185,0,32L,空客321(中),M,2024-04-01 17:05:00,2024-04-01 20:10:00,False,False,0,False,True,,2024-04-01,17:05:00,2024-04-01,20:10:00,MU,东方航空,天合联盟,MU510,1422,398,1820,2436,,,,,2024-03-27
MU702,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,170,0,32L,空客321(中),M,2024-04-01 13:55:00,2024-04-01 16:45:00,False,False,0,False,True,,2024-04-01,13:55:00,2024-04-01,16:45:00,,,,,773,340,1113,1679,,,,,2024-03-27
MU8630,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,145,0,73E,波音738(中),M,2024-04-01 18:50:00,2024-04-01 21:15:00,False,False,0,False,True,,2024-04-01,18:50:00,2024-04-01,21:15:00,FM,上海航空,天合联盟,FM810,855,340,1195,1677,,,,,2024-03-27
